long_std,time/iterations,time/fps,rollout/ep_len_mean,return_std,return_mean,long_mean,time/time_elapsed,short_std,rollout/ep_rew_mean,time/total_timesteps,short_mean,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss
1.4781611,1,59,20.0,0.38285017,0.6922886,0.17854843,34,0.4290324,1.5459459199999999,2048,0.39833635,,,,,,,,,,
1.5021983,2,59,20.0,0.46585524,0.7699258,0.19324195,68,0.38534826,1.4754054100000003,4096,0.3899682,0.2,-3.637450820207596,-0.0034973621368408203,0.09009386233519763,10,-0.002335565483372193,0.0,0.00043467063,1e-05,0.02338162250816822
1.4602644,3,59,20.0,0.48198175,0.84266126,0.18598652,103,0.28660527,1.6329729499999999,6144,0.33077416,0.2,-3.6367374159395696,0.4082414507865906,0.07561554433195852,20,-0.002774025579856243,0.0,0.0008053947,1e-05,0.024597009643912315
1.4251226,4,59,20.0,0.48929748,0.86567885,0.15634617,138,0.35044676,1.6370270000000002,8192,0.36770254,0.2,-3.632758606225252,0.5627548396587372,0.05963672075304203,30,-0.006316037164651789,0.00654296875,0.004590376,1e-05,0.005931500345468521
1.4305378,5,58,20.0,0.47615469,0.7576201,0.20278181,173,0.41844523,1.42891892,10240,0.4117763,0.2,-3.625444830209017,0.6179515421390533,0.057081042282516134,40,-0.005859217490069568,0.00166015625,0.0034145243,1e-05,-0.01034465804696083
1.4707625,6,58,20.0,0.5137679,0.8859179,0.16630074,209,0.32496387,1.6570270399999996,12288,0.35580027,0.2,-3.6086519174277782,0.6232957243919373,0.05488639468094334,50,-0.008466345720808021,0.033837890625,0.0073593,1e-05,0.021414391696453094
1.402865,7,58,20.0,0.5112329,0.7931772,0.17680681,245,0.24800594,1.4648648899999999,14336,0.3244878,0.2,-3.5823465928435327,0.6439246237277985,0.06351978693855927,60,-0.008724695636192336,0.031689453125,0.008255018,1e-05,-0.012784197926521301
1.409988,8,58,20.0,0.5152171,0.82355976,0.18386233,279,0.30546966,1.5383784499999995,16384,0.35625637,0.2,-3.5496900364756585,0.6798459589481354,0.06350562731968239,70,-0.006467333524778951,0.0220703125,0.007784321,1e-05,-0.002704046666622162
1.4554248,9,58,20.0,0.5095751,0.8958262,0.16099033,314,0.30084336,1.6889189799999997,18432,0.3318879,0.2,-3.5127642065286637,0.674677699804306,0.06848680374678225,80,-0.010281572525855154,0.043798828125,0.00932752,1e-05,-0.018944723531603813
1.4187887,10,58,20.0,0.49558765,0.84704614,0.16284317,348,0.27242777,1.58675679,20480,0.32273537,0.2,-3.48287420719862,0.7132620215415955,0.05278750839061104,90,-0.012236244950327092,0.045654296875,0.009859294,1e-05,0.025998814031481743
1.4044093,11,58,20.0,0.5156279,0.8713383,0.1618657,381,0.3003106,1.6121621700000004,22528,0.34309012,0.2,-3.4447510696947576,0.7174580693244934,0.05031918885069899,100,-0.010725821426603943,0.038720703125,0.011108487,1e-05,-0.010521788150072098
1.4150802,12,59,20.0,0.5506387,0.92424273,0.15195808,416,0.27352804,1.77459463,24576,0.3663609,0.2,-3.385744246840477,0.708600789308548,0.056012500124052164,110,-0.011873253213707358,0.0525390625,0.011844248,1e-05,0.01691807061433792
1.4046181,13,58,20.0,0.5270402,0.8758619,0.16497108,451,0.26790774,1.59459463,26624,0.3320344,0.2,-3.3304729208350183,0.7418375909328461,0.056530602526618165,120,-0.01199766441131942,0.06689453125,0.01011491,1e-05,0.004871435463428497
1.3390402,14,58,20.0,0.55269253,0.93371046,0.15286434,486,0.24590541,1.7500000200000005,28672,0.34334242,0.2,-3.2999733947217464,0.7131648659706116,0.05966052883304655,130,-0.010085735621396452,0.044140625,0.011104019,1e-05,-0.016452591866254807
1.3181472,15,59,20.0,0.5185137,0.8758281,0.1774455,520,0.3540487,1.60945948,30720,0.38407508,0.2,-3.2587776303291323,0.7331319749355316,0.06061116688651964,140,-0.012882298757904209,0.061083984375,0.013945593,1e-05,-0.0016309600323438644
1.372675,16,59,20.0,0.50944054,0.92721367,0.15324256,555,0.28446558,1.7524323899999996,32768,0.355011,0.2,-3.1836284570395947,0.7043403387069702,0.055693930690176786,150,-0.008716595775331371,0.0595703125,0.009844381,1e-05,0.01351194828748703
1.4586425,17,58,20.0,0.5499918,0.9525621,0.1476058,590,0.2733324,1.7951351299999998,34816,0.35017014,0.2,-3.1544217936694623,0.7409816384315491,0.04882623441517353,160,-0.007936462390352972,0.023193359375,0.008248054,1e-05,0.009260216727852821
1.4361885,18,59,20.0,0.5580937,0.9370941,0.17223617,624,0.2516351,1.74702706,36864,0.35420376,0.2,-3.064480007439852,0.7462219893932343,0.05554959109867923,170,-0.014082235330715776,0.082568359375,0.015083684,1e-05,-0.023606903851032257
1.3975781,19,59,20.0,0.55615914,0.9591906,0.15438943,658,0.2282874,1.8232432399999998,38912,0.33101997,0.2,-2.988405979424715,0.7594533413648605,0.05433387795346789,180,-0.010413331000017933,0.056982421875,0.011389436,1e-05,0.005117639899253845
1.4627995,20,59,20.0,0.57645833,0.97067267,0.14366478,693,0.22724597,1.8240540299999999,40960,0.33769006,0.2,-2.907989823073149,0.7672654688358307,0.05351209364598617,190,-0.009194712043972686,0.049072265625,0.008879719,1e-05,0.023588906973600388
1.4289752,21,59,20.0,0.5398768,0.89310694,0.1629451,727,0.24538161,1.6843242800000002,43008,0.3356806,0.2,-2.8508669354021547,0.7666031420230865,0.05703126479056664,200,-0.008483368165616411,0.047802734375,0.008466137,1e-05,0.034582532942295074
1.4334996,22,59,20.0,0.55480945,0.9463626,0.14770561,761,0.24658877,1.79756756,45056,0.3398437,0.2,-2.7951976515352728,0.7581400722265244,0.05366507110302336,210,-0.0130717558960896,0.079345703125,0.013936421,1e-05,0.0213084165006876
1.3962258,23,59,20.0,0.5218101,0.85538894,0.16524124,795,0.26737174,1.6275675900000002,47104,0.35738492,0.2,-2.745684943348169,0.7630589753389359,0.05442677711835131,220,-0.009469476909725928,0.04970703125,0.010258993,1e-05,-0.018584007397294044
1.3454036,24,59,20.0,0.54968876,0.93588394,0.15784031,829,0.22881399,1.74891895,49152,0.34676504,0.2,-2.723116184026003,0.7448804080486298,0.052157666155835614,230,-0.009659641173493582,0.05869140625,0.01198609,1e-05,0.035852134227752686
1.424284,25,59,20.0,0.56326103,0.9681501,0.1471779,864,0.26107347,1.8081081,51200,0.3617411,0.2,-2.7426782876253126,0.7404810190200806,0.05858642429229803,240,-0.009067697510181461,0.04755859375,0.009120006,1e-05,-0.014918508008122444
1.4053546,26,59,20.0,0.5698693,1.0275764,0.14173327,897,0.24594153,1.9156756800000003,53248,0.3624552,0.2,-2.7307015687227247,0.7637920826673508,0.05707789033767767,250,-0.010177224549988751,0.060498046875,0.01037443,1e-05,0.010580675676465034
1.3442198,27,59,20.0,0.522411,0.9213988,0.15589833,931,0.22866796,1.7018919700000001,55296,0.35456884,0.2,-2.664031447470188,0.7862241119146347,0.05006313885678537,260,-0.010619950521504506,0.057861328125,0.011125144,1e-05,0.043334152549505234
1.4623029,28,59,20.0,0.55660087,0.9383224,0.14909497,965,0.22610193,1.8005405099999998,57344,0.3606379,0.2,-2.6158191628754137,0.7423253059387207,0.050822865410009396,270,-0.008589654628303833,0.046435546875,0.012416678,1e-05,0.008247308433055878
1.3401676,29,59,20.0,0.5706673,0.9482511,0.1632627,999,0.2309214,1.75945947,59392,0.36498618,0.2,-2.6312083050608637,0.7569116652011871,0.05713877630187199,280,-0.007390028987720143,0.035546875,0.013515051,1e-05,0.009866263717412949
1.3594366,30,59,20.0,0.5475402,0.9598704,0.15142803,1033,0.22830383,1.80972972,61440,0.36206424,0.2,-2.61788614988327,0.7610870450735092,0.05931966110947542,290,-0.010721018014010042,0.063134765625,0.013466649,1e-05,-0.011780142784118652
1.4078635,31,59,20.0,0.5393678,0.9582523,0.14619991,1067,0.25980505,1.8024324200000001,63488,0.37512547,0.2,-2.6051050417125223,0.7839965671300888,0.050764355476712805,300,-0.008197133208159357,0.047314453125,0.009330808,1e-05,0.025909019634127617
1.3425939,32,59,20.0,0.52894247,0.9190259,0.16624035,1102,0.22933574,1.7178378799999998,65536,0.35022965,0.2,-2.595516622811556,0.7738169282674789,0.049183852795977145,310,-0.008756687896675431,0.0478515625,0.011546953,1e-05,-0.008244384080171585
1.3783076,33,59,20.0,0.5987644,0.9990823,0.123713836,1136,0.22873421,1.9083783499999998,67584,0.36301744,0.2,-2.594255676865578,0.7717202007770538,0.04970115848118439,320,-0.010535002319375052,0.062353515625,0.012020354,1e-05,-0.006073908880352974
1.3951033,34,59,20.0,0.58425844,1.0073879,0.14824297,1170,0.26441488,1.8645946,69632,0.3805495,0.2,-2.6436714224517344,0.7746785581111908,0.06206378861097619,330,-0.009907345249666832,0.051806640625,0.012897473,1e-05,0.012649394571781158
1.3657264,35,59,20.0,0.59389424,0.9594445,0.15090443,1204,0.22814912,1.7872973200000002,71680,0.35556942,0.2,-2.652781278640032,0.7785981297492981,0.05973028242588043,340,-0.00895124978851527,0.04951171875,0.013654376,1e-05,-0.006491567939519882
1.3901116,36,59,20.0,0.53538775,0.93519056,0.16752046,1238,0.2576954,1.7537837699999996,73728,0.36465603,0.2,-2.5964005306363105,0.779882475733757,0.060947031271643935,350,-0.011999480142549146,0.0873046875,0.013992353,1e-05,0.008890700526535511
1.3132373,37,59,20.0,0.5170288,0.9060639,0.16195923,1272,0.22941506,1.7051351100000003,75776,0.34614393,0.2,-2.602892296016216,0.7895600497722626,0.0463293827167945,360,-0.007899801744497382,0.04111328125,0.011005659,1e-05,0.011686179786920547
1.495186,38,59,20.0,0.5288372,0.9379816,0.15795839,1306,0.25753316,1.8113513600000002,77824,0.35842735,0.2,-2.5230316810309885,0.7655372321605682,0.045536026410991325,370,-0.010549178029759788,0.0919921875,0.01232557,1e-05,0.014838013797998428
1.3517536,39,59,20.0,0.55818653,0.9382888,0.16512755,1340,0.24877997,1.7610811000000002,79872,0.35494566,0.2,-2.5021538525819778,0.7706201672554016,0.04950686454540119,380,-0.008878275289316662,0.051123046875,0.014658175,1e-05,0.004569320008158684
1.4342997,40,59,20.0,0.56135195,0.9723336,0.15226671,1376,0.24756102,1.8186486300000002,81920,0.35013676,0.2,-2.542972479760647,0.7833271026611328,0.052364631922682744,390,-0.011060502644977533,0.07900390625,0.012006937,1e-05,-0.0002063959836959839
1.4615964,41,59,20.0,0.54358286,0.97527415,0.1484363,1410,0.2540752,1.8435135000000002,83968,0.36983353,0.2,-2.573938871175051,0.7837644219398499,0.05472502548946068,400,-0.012863697501597927,0.07724609375,0.016074486,1e-05,-0.017620643600821495
1.3502592,42,59,20.0,0.53787845,0.9321159,0.15605141,1444,0.24729817,1.7313513499999997,86016,0.35266858,0.2,-2.614931596815586,0.7857740223407745,0.048677092575235295,410,-0.011374058175715619,0.077880859375,0.0140015,1e-05,0.04678624868392944
1.4210943,43,59,20.0,0.6008529,1.0411643,0.13240147,1478,0.23147489,1.97270267,88064,0.36621708,0.2,-2.625352581590414,0.7839174121618271,0.047584382531931625,420,-0.01011619515484199,0.070947265625,0.0115157645,1e-05,-0.0046915579587221146
1.3578393,44,59,20.0,0.5544224,0.9220548,0.15947568,1512,0.24198715,1.69108113,90112,0.34033743,0.2,-2.6462061680853366,0.743813157081604,0.06625501087983139,430,-0.00963412928103935,0.065576171875,0.008780619,1e-05,0.03899965435266495
1.3873255,45,59,20.0,0.5320561,0.9300734,0.14017552,1546,0.2479462,1.7608107999999998,92160,0.36189514,0.2,-2.672236640751362,0.7742754071950912,0.0537498100718949,440,-0.008339929653448052,0.056787109375,0.007020641,1e-05,0.03353307396173477
1.4170127,46,59,20.0,0.58282125,0.9836376,0.14220995,1580,0.22797674,1.8464865000000001,94208,0.35964727,0.2,-2.5803658105432987,0.7580998539924622,0.05021350694587454,450,-0.00996614691684954,0.07919921875,0.012796167,1e-05,-0.0018067844212055206
1.3873893,47,59,20.0,0.57226026,0.96528935,0.15470302,1614,0.23482029,1.7767567899999996,96256,0.35649803,0.2,-2.5340885750949385,0.7815783321857452,0.0578565732575953,460,-0.010490584906074218,0.071728515625,0.012556878,1e-05,-0.01421898789703846
1.4245545,48,59,20.0,0.6162616,0.9994259,0.15682751,1651,0.24180327,1.8700000300000001,98304,0.36616677,0.2,-2.502793597429991,0.7681663930416107,0.059535816847346726,470,-0.008988901413977146,0.071728515625,0.009916373,1e-05,0.03059913031756878
1.4987671,49,59,20.0,0.5659629,0.9601648,0.13795462,1686,0.22700882,1.77297297,100352,0.34604716,0.2,-2.5435978770256042,0.7857442200183868,0.06570911731105297,480,-0.007670106101431884,0.05966796875,0.012661472,1e-05,0.024561729282140732
